X,Y,OBJECTID,事務所名,路線名,管理番号,照明灯種別,設置位置,緯度,経度,X座標,Y座標
138.3004167,34.85575,149,島田土木事務所,（国）１５０号,F150B-福昌院地下道,その他,焼津市三ヶ名　福昌院西,34.85575,138.3004167,-18249.70091,-126921.8951
138.3359444,34.89788889,150,島田土木事務所,（国）１５０号,F150B-新1,その他,焼津市野秋,34.89788889,138.3359444,-14993.42031,-122253.43
138.2990833,34.8736944400001,151,島田土木事務所,（国）１５０号,F150B-新7,,焼津市大覚寺,34.87369444,138.2990833,-18367.63024,-124931.1243
138.2991111,34.8730555600001,152,島田土木事務所,（国）１５０号,F150B-新8,,焼津市大覚寺,34.87305556,138.2991111,-18365.23269,-125001.9987
138.3008333,34.8573333300001,153,島田土木事務所,（国）１５０号,F150B-新9,その他,焼津市三ヶ名,34.85733333,138.3008333,-18211.25295,-126746.3367
138.2995278,34.85158333,154,島田土木事務所,（国）１５０号,F150B-新10,その他,焼津市小川,34.85158333,138.2995278,-18331.90444,-127383.9293
138.1271389,34.82116667,155,島田土木事務所,（国）４７３号,G473-新42,,島田市金谷,34.82116667,138.1271389,-34108.37036,-130712.896
138.1270278,34.8209444400001,156,島田土木事務所,（国）４７３号,G473-新43,,島田市金谷,34.82094444,138.1270278,-34118.6261,-130737.5096
138.1268889,34.82091667,157,島田土木事務所,（国）４７３号,G473-新44,,島田市金谷,34.82091667,138.1268889,-34131.34295,-130740.5428
138.1268889,34.8207777800001,158,島田土木事務所,（国）４７３号,G473-新45,,島田市金谷,34.82077778,138.1268889,-34131.40024,-130755.9494
138.0811944,34.92036111,159,島田土木事務所,（国）４７３号,G473-36,高圧ナトリウム灯,島田市川根町大和田,34.92036111,138.0811944,-38265.28975,-119692.8597
138.08025,34.92225,160,島田土木事務所,（国）４７３号,G473-36-01,高圧ナトリウム灯,島田市川根町大和田,34.92225,138.08025,-38350.70282,-119482.9654
138.0803611,34.923,161,島田土木事務所,（国）４７３号,G473-36-1,高圧ナトリウム灯,島田市川根町大和田,34.923,138.0803611,-38340.2023,-119399.8112
138.0803611,34.9236388900001,162,島田土木事務所,（国）４７３号,G473-36-2,高圧ナトリウム灯,島田市川根町大和田,34.92363889,138.0803611,-38339.90513,-119328.9397
138.0763611,34.9355555600001,163,島田土木事務所,（国）４７３号,G473-37,高圧ナトリウム灯,島田市川根町家山　家山橋南100m,34.93555556,138.0763611,-38699.76719,-118005.4928
138.07625,34.93616667,164,島田土木事務所,（国）４７３号,G473-38-1,高圧ナトリウム灯,島田市川根町家山　家山橋右岸橋台上流側,34.93616667,138.07625,-38709.63013,-117937.6598
